,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind speed
59,arona,ES,28.1,-16.68,73.4,78,20,10.29
60,samarai,PG,-10.62,150.67,79.75,82,99,8.72
61,geraldton,AU,-28.77,114.6,62.6,88,0,2.24
62,tessalit,ML,20.2,1.01,82.58,15,30,9.6
63,nikolskoye,RU,59.7,30.79,48.0,93,90,3.06
64,albany,US,42.6,-73.97,36.0,87,95,6.67
65,coquimbo,CL,-29.95,-71.34,57.2,76,75,6.93
66,namatanai,PG,-3.67,152.43,79.56,76,37,2.75
67,severo-kurilsk,RU,50.68,156.12,42.51,89,100,29.17
68,alice springs,AU,-23.7,133.88,51.8,32,6,4.7
69,kloulklubed,PW,7.04,134.26,77.0,88,75,8.05
70,tommot,RU,58.96,126.29,9.27,94,98,1.16
71,bolshaya dzhalga,RU,45.97,42.7,61.54,73,85,9.28
72,hilo,US,19.73,-155.09,80.01,74,1,3.36
73,along,IN,28.17,94.77,62.91,56,6,2.24
74,emba,KZ,48.83,58.14,43.86,55,86,11.21
75,karratha,AU,-20.74,116.85,74.01,64,0,6.85
76,ayan,RU,56.45,138.17,27.84,87,97,4.43
77,turukhansk,RU,65.82,87.98,3.97,92,100,7.96
78,saint-pierre,RE,-21.34,55.48,66.99,72,75,8.05
79,mbini,GQ,1.57,9.61,82.4,88,40,11.41
80,luanda,AO,-8.84,13.23,78.8,83,40,9.17
81,canico,PT,32.63,-16.85,69.8,77,20,16.11
82,santa rosa,PH,14.31,121.11,82.4,78,75,3.36
83,hibbing,US,47.43,-92.94,35.6,59,40,3.36
84,thompson,CA,55.74,-97.86,19.4,62,75,2.24
85,kaitangata,NZ,-46.28,169.85,57.0,96,100,1.99
86,kamenka,RU,51.32,42.77,46.35,83,100,10.22
87,inuvik,CA,68.35,-133.72,10.4,92,97,3.36
88,pemangkat,ID,1.17,108.97,77.9,90,100,7.81
89,ostrovnoy,RU,68.05,39.51,34.66,88,92,19.62
90,mahebourg,MU,-20.41,57.7,69.8,52,40,13.87
91,lexington,US,37.99,-84.48,48.0,70,90,9.17
92,manokwari,ID,-0.87,134.08,80.71,69,100,5.88
93,khatanga,RU,71.97,102.5,-8.75,84,0,6.73
94,half moon bay,US,37.46,-122.43,66.99,77,5,6.91
95,busselton,AU,-33.65,115.33,61.0,59,0,3.04
96,barao de melgaco,BR,-16.19,-55.97,82.4,65,75,3.36
97,esperance,AU,-33.87,121.9,57.2,67,0,17.22
98,pachino,IT,36.72,15.09,66.0,73,42,4.38
99,fairbanks,US,64.84,-147.72,10.4,92,90,1.79
100,cockburn town,TC,21.46,-71.14,86.0,70,75,13.87
101,shenjiamen,CN,29.96,122.3,63.48,64,92,10.71
102,east london,ZA,-33.02,27.91,57.2,93,75,5.82
103,jiaocheng,CN,24.68,116.14,63.97,83,0,2.21
104,abu samrah,SY,35.3,37.18,68.81,50,99,6.26
105,jais,IN,26.25,81.53,71.13,32,0,7.02
106,longyearbyen,SJ,78.22,15.64,17.6,72,0,4.7
107,bhinmal,IN,25.0,72.25,75.61,20,5,5.39
108,port alfred,ZA,-33.59,26.89,60.82,59,80,3.2
109,mar del plata,AR,-38.0,-57.56,60.8,63,0,9.17
110,zabid,YE,14.2,43.32,83.32,64,0,4.74
111,sri aman,MY,1.24,111.46,75.2,94,100,0.11
112,briancon,FR,44.9,6.65,55.0,73,0,3.13
113,berezovyy,RU,51.67,135.7,31.82,89,100,1.41
114,vestmannaeyjar,IS,63.44,-20.27,42.8,93,90,24.16
115,nizwa,OM,22.93,57.53,65.43,43,0,2.24
116,toamasina,MG,-18.17,49.38,75.2,73,40,10.29
117,sur,OM,22.57,59.53,72.99,62,0,3.69
118,iwanai,JP,42.97,140.51,44.22,81,30,5.1
119,whitehorse,CA,60.72,-135.05,24.8,85,75,8.05
120,norman wells,CA,65.28,-126.83,12.2,92,75,2.24
121,dunedin,NZ,-45.87,170.5,61.0,67,100,4.0
122,ishikawa,JP,26.42,127.82,68.0,77,75,6.93
123,lokosovo,RU,61.13,74.82,34.11,97,100,8.52
124,rocha,UY,-34.48,-54.33,57.72,62,100,9.31
125,chuy,UY,-33.7,-53.46,60.37,70,29,11.63
126,locri,IT,38.24,16.26,64.4,72,20,6.93
127,ekibastuz,KZ,51.67,75.37,36.72,82,99,4.99
128,warkworth,NZ,-36.4,174.67,64.0,96,100,1.01
129,adelaide,AU,-34.93,138.6,57.99,71,75,8.05
130,abapo,BO,-18.83,-63.47,84.76,24,0,5.79
131,eureka,US,40.8,-124.16,55.4,93,40,4.7
132,hobart,AU,-42.88,147.33,46.0,93,40,6.93
133,trinidad,BO,-14.83,-64.9,82.4,45,100,18.34
134,petrokhorion,GR,41.12,24.83,61.0,87,20,4.7
135,bathsheba,BB,13.22,-59.52,77.0,94,90,24.16
136,mareeba,AU,-17.0,145.43,75.2,88,90,1.12
137,guerrero negro,MX,27.98,-114.06,80.38,26,4,3.87
138,santa cruz,BO,-17.8,-63.17,86.0,51,40,21.92
139,new norfolk,AU,-42.78,147.06,44.01,73,0,2.53
140,avarua,CK,-21.21,-159.78,75.2,73,100,6.93
141,nesna,NO,66.2,13.02,42.8,48,0,19.46
142,kifri,IQ,34.7,44.97,66.85,23,95,4.63
143,waw,SS,7.7,28.0,75.88,84,100,3.8
144,burnie,AU,-41.07,145.92,52.0,87,43,1.01
145,ola,RU,59.58,151.28,30.49,91,99,11.54
146,lebu,CL,-37.62,-73.65,59.04,67,0,12.57
147,barrow,US,71.29,-156.79,19.4,92,90,13.87
148,kapaa,US,22.08,-159.32,73.99,83,40,6.93
149,hambantota,LK,6.12,81.12,75.2,100,90,3.36
150,mobaye,CF,4.32,21.18,71.01,95,17,0.31
151,tsaratanana,MG,-16.78,47.65,68.79,55,80,15.86
152,kavieng,PG,-2.57,150.8,81.59,77,93,8.39
153,meadow lake,US,34.8,-106.54,60.01,50,20,8.05
154,butaritari,KI,3.07,172.79,81.34,80,74,18.5
155,kinsale,IE,51.71,-8.53,51.01,87,40,16.11
156,sitka,US,57.05,-135.33,39.2,93,90,6.93
157,touros,BR,-5.2,-35.46,86.0,58,20,13.87
158,bure,ET,10.7,37.07,55.89,88,99,5.66
159,doka,SD,13.52,35.77,83.89,32,7,4.74
160,road town,VG,18.42,-64.62,86.0,70,40,17.22
161,ilo,PE,-17.64,-71.34,69.8,68,0,11.41
162,hithadhoo,MV,-0.6,73.08,83.12,76,78,9.84
163,kedrovyy,RU,56.17,91.82,28.4,92,75,8.95
164,walvis bay,NA,-22.96,14.51,57.99,82,7,13.06
165,laguna,US,38.42,-121.42,70.0,30,5,3.36
166,lata,PT,40.16,-8.33,66.0,82,0,0.54
167,mechetinskaya,RU,46.77,40.46,59.72,95,70,2.01
168,ginir,ET,7.13,40.7,59.43,96,97,4.29
169,westport,US,41.14,-73.36,39.99,80,90,12.75
170,ronneby,SE,56.21,15.28,41.0,100,90,2.24
171,sulangan,PH,11.14,123.72,83.57,79,100,21.74
172,nguruka,TZ,-5.11,31.04,73.36,63,100,2.98
173,merritt island,US,28.54,-80.67,79.0,60,1,10.89
174,lavrentiya,RU,65.58,-171.0,21.94,85,100,7.38
175,balgazyn,RU,51.0,95.2,26.98,91,100,4.76
176,yumen,CN,40.28,97.2,31.5,85,0,9.78
177,faanui,PF,-16.48,-151.75,79.07,78,0,12.37
178,san policarpo,PH,12.18,125.51,81.57,81,100,14.79
179,gaya,IN,24.78,85.0,69.8,83,75,5.55
180,tottori,JP,35.5,134.23,50.9,71,6,3.91
181,tasiilaq,GL,65.61,-37.64,32.0,97,75,3.36
182,christchurch,NZ,-43.53,172.63,64.4,59,100,4.7
183,nome,US,64.5,-165.41,21.99,85,90,3.36
184,vila velha,BR,-20.33,-40.29,80.6,78,40,19.46
185,curumani,CO,9.2,-73.54,82.81,69,87,1.25
186,rize,TR,40.9,40.89,49.15,65,92,6.8
187,trang,TH,7.5,99.5,75.15,93,96,1.88
188,kumla,SE,59.13,15.14,43.0,100,90,4.7
189,bredasdorp,ZA,-34.53,20.04,53.6,62,0,4.7
190,araouane,ML,18.9,-3.53,89.29,11,92,7.0
191,vostok,RU,46.49,135.88,24.26,99,43,4.16
192,pisco,PE,-13.7,-76.22,69.01,72,75,9.17
193,lompoc,US,34.64,-120.46,60.8,82,1,4.7
194,naze,JP,28.37,129.48,73.4,60,40,19.46
195,moroni,KM,-11.7,43.26,77.45,74,80,2.35
196,taylorville,US,39.55,-89.29,50.0,48,1,3.36
197,hammerfest,NO,70.66,23.68,33.8,64,75,16.11
198,sioux lookout,CA,50.1,-91.92,28.4,79,90,10.29
199,souillac,MU,-20.52,57.52,69.8,52,40,13.87
200,la rioja,ES,42.25,-2.5,59.0,71,0,2.24
201,port elizabeth,ZA,-33.92,25.57,55.4,71,0,3.36
202,rabat,MA,33.99,-6.84,66.2,88,40,3.36
203,sungaipenuh,ID,-2.08,101.38,66.34,94,100,1.1
204,ust-kuyga,RU,70.02,135.6,2.53,92,100,1.34
205,yinchuan,CN,38.47,106.27,45.84,49,0,6.87
206,grand gaube,MU,-20.01,57.66,68.0,56,0,5.01
207,nuuk,GL,64.18,-51.72,24.8,73,20,9.17
208,vao,NC,-22.67,167.48,73.24,87,0,13.53
209,richards bay,ZA,-28.78,32.04,69.33,82,91,16.17
210,hachinohe,JP,40.5,141.5,42.8,87,40,4.7
211,kikwit,CD,-5.04,18.82,72.5,86,100,0.81
212,kolar,IN,13.13,78.13,71.6,94,40,1.63
213,dingle,PH,11.0,122.67,76.59,91,100,7.85
214,zhurivka,UA,50.5,31.78,48.2,87,90,4.47
215,margate,GB,51.38,1.39,57.99,89,100,1.99
216,changping,CN,40.22,116.22,53.01,75,0,2.24
217,mgandu,TZ,-5.95,34.13,69.31,49,100,11.61
218,veinticinco de mayo,AR,-35.43,-60.17,66.99,31,0,4.0
219,parabel,RU,58.7,81.48,24.31,98,100,4.29
220,maunabo,PR,18.01,-65.9,86.0,100,100,5.99
221,nyurba,RU,63.28,118.33,-3.37,91,53,4.03
222,valparaiso,CL,-33.04,-71.63,59.0,76,20,9.17
223,carnarvon,AU,-24.87,113.63,71.6,83,90,6.93
224,gambela,ET,8.25,34.58,73.67,87,100,3.69
225,torbay,CA,47.67,-52.73,36.0,59,75,14.99
226,bilibino,RU,68.05,166.44,2.89,88,99,2.17
227,pangkalanbuun,ID,-2.68,111.62,75.61,94,93,1.59
228,labuhan,ID,-6.88,112.21,78.82,82,100,9.17
229,nantucket,US,41.28,-70.1,44.6,87,90,25.28
230,masallatah,LY,32.62,14.0,65.95,72,23,12.73
231,pangnirtung,CA,66.15,-65.71,12.2,66,20,3.36
232,mahajanga,MG,-15.72,46.32,84.2,37,20,14.99
233,atbasar,KZ,51.8,68.33,32.54,89,0,2.39
234,mount isa,AU,-20.73,139.5,68.0,27,0,14.99
235,bubaque,GW,11.28,-15.83,85.17,66,100,8.37
236,tupik,RU,54.43,119.93,16.63,95,100,2.95
237,gela,IT,37.08,14.23,68.0,88,40,4.7
238,raudeberg,NO,61.99,5.14,50.0,93,75,17.22
239,karachi,PK,24.91,67.08,73.4,49,0,5.7
240,schwalbach,DE,49.3,6.82,55.0,90,98,6.93
241,san matias,BO,-16.37,-58.4,90.21,37,62,10.71
242,hovd,MN,48.01,91.64,28.53,80,0,3.65
243,port hardy,CA,50.7,-127.42,48.2,76,40,8.05
244,bonfim,BR,3.08,-59.95,90.18,55,100,7.81
245,gillette,US,44.29,-105.5,60.8,31,1,18.34
246,malayal,PH,7.21,121.94,77.0,100,75,2.24
247,riyadh,SA,24.69,46.72,73.4,33,0,3.36
248,mount gambier,AU,-37.83,140.77,51.8,87,90,8.05
249,victoria,HK,22.29,114.16,75.0,78,66,1.01
250,pundaguitan,PH,6.37,126.17,82.38,78,100,9.08
251,sao filipe,CV,14.9,-24.5,83.05,55,69,17.2
252,nabire,ID,-3.37,135.48,74.3,88,100,4.65
253,cidreira,BR,-30.18,-50.21,65.62,62,32,9.28
254,langxiang,CN,46.95,128.88,31.91,89,100,3.36
255,haljala,EE,59.43,26.26,45.81,93,79,3.31
256,bulawayo,ZW,-20.15,28.58,76.26,19,0,15.43
257,tombouctou,ML,20.0,-3.0,88.83,12,8,6.44
258,hede,CN,33.77,120.25,53.37,68,0,3.49
259,tucuman,AR,-26.82,-65.22,78.8,26,0,6.93
260,belyy yar,RU,53.6,91.39,35.6,69,0,4.47
261,rozkishne,UA,48.51,39.3,54.0,81,100,3.0
262,jablah,SY,35.36,35.93,68.0,77,40,4.7
263,ancud,CL,-41.87,-73.82,63.0,59,0,6.93
264,mumford,GH,5.26,-0.76,79.32,83,55,5.59
265,bayji,IQ,34.93,43.49,66.29,23,48,2.91
266,humaita,BR,-7.51,-63.02,92.41,50,98,1.97
267,ouargaye,BF,11.5,0.06,86.18,24,0,3.67
268,tuy hoa,VN,13.08,109.3,76.98,90,61,5.08
269,yamasaki,JP,35.0,134.55,43.0,100,0,3.0
270,naryan-mar,RU,67.67,53.09,33.01,94,100,9.55
271,boshnyakovo,RU,49.63,142.17,34.77,86,87,1.68
272,mehamn,NO,71.04,27.85,35.6,91,75,23.04
273,haines junction,CA,60.75,-137.51,21.2,79,100,11.41
274,bambous virieux,MU,-20.34,57.76,69.8,52,40,13.87
275,hornostayivka,UA,47.01,33.73,55.08,71,91,6.8
276,amapa,BR,1.0,-52.0,97.66,28,42,7.94
277,goundam,ML,16.41,-3.67,89.87,11,0,10.4
278,conceicao da barra,BR,-18.59,-39.73,80.11,69,84,14.61
279,stephenville,US,32.22,-98.2,64.4,25,1,4.7
280,bowen,AU,-20.02,148.23,68.0,94,40,1.12
281,kirakira,SB,-10.45,161.92,77.72,72,100,2.26
282,kununurra,AU,-15.77,128.73,80.6,83,98,5.82
283,murray bridge,AU,-35.12,139.27,53.01,94,56,11.36
284,narsaq,GL,60.92,-46.05,30.2,63,75,1.12
285,sarkand,KZ,45.41,79.92,38.82,65,0,1.88
286,jalu,LY,29.03,21.55,71.42,51,77,10.27
287,ponta do sol,PT,32.67,-17.1,69.8,77,20,16.11
288,fortuna,US,40.6,-124.16,55.4,66,1,6.93
289,casper,US,42.87,-106.31,62.01,30,1,29.97
290,barentu,ER,15.11,37.59,77.9,28,0,3.51
291,port blair,IN,11.67,92.75,80.42,84,100,11.39
292,rawson,AR,-43.3,-65.1,70.34,23,0,12.44
293,mandalgovi,MN,45.76,106.27,25.39,75,0,13.89
294,maposeni,TZ,-10.58,35.4,75.2,53,20,5.82
295,olafsvik,IS,64.89,-23.71,42.01,73,4,11.65
296,saint-louis,SN,16.33,-15.0,98.6,25,0,6.13
297,santander jimenez,MX,24.22,-98.47,74.08,36,0,14.18
298,la ronge,CA,55.1,-105.28,24.8,68,90,14.99
299,sept-iles,CA,50.2,-66.38,37.0,47,95,8.05
300,berlevag,NO,70.86,29.09,32.0,87,75,23.04
301,bandarbeyla,SO,9.49,50.81,78.87,82,0,14.23
302,guaruja,BR,-23.99,-46.26,68.0,94,90,11.41
303,plettenberg bay,ZA,-34.05,23.37,54.9,63,0,2.73
304,kaeo,NZ,-35.1,173.78,63.0,96,88,7.0
305,carapegua,PY,-25.8,-57.23,82.4,26,0,17.22
306,srandakan,ID,-7.94,110.25,77.95,87,100,3.33
307,strezhevoy,RU,60.73,77.59,33.8,97,90,6.71
308,kaputa,ZM,-8.47,29.66,77.76,56,66,3.2
309,punta alta,AR,-38.88,-62.07,73.45,23,0,6.98
310,narasannapeta,IN,18.42,84.05,74.8,64,98,5.64
311,cayenne,GF,4.93,-52.33,89.6,62,40,12.75
312,shache,CN,38.42,77.24,39.65,68,0,6.85
313,ornskoldsvik,SE,63.29,18.72,35.6,93,100,3.36
314,tautira,PF,-17.73,-149.15,84.2,70,40,5.82
315,bengkulu,ID,-3.8,102.27,75.61,89,97,4.5
316,igunga,TZ,-4.28,33.88,80.94,35,100,7.61
317,zhovkva,UA,50.06,23.97,41.0,100,100,2.24
318,aklavik,CA,68.22,-135.01,3.2,91,75,11.41
319,capinota,BO,-17.72,-66.23,71.6,37,20,6.93
320,san cristobal,VE,7.77,-72.22,87.8,58,40,4.7
321,hohhot,CN,40.81,111.65,44.6,33,0,15.66
322,narodychi,UA,51.2,29.08,46.47,83,100,6.46
323,tuatapere,NZ,-46.13,167.68,55.0,97,100,3.0
324,cururupu,BR,-1.83,-44.87,86.04,58,58,7.54
325,tura,IN,25.52,90.22,73.89,76,56,4.36
326,vrangel,RU,42.73,133.08,44.01,71,0,2.53
327,chokurdakh,RU,70.63,147.92,6.91,95,100,6.42
328,najran,SA,17.49,44.13,69.8,30,0,6.93
329,mehran,IR,33.12,46.16,57.2,24,0,4.7
330,yulara,AU,-25.24,130.99,59.0,30,0,8.05
331,bunog,PH,9.14,117.78,80.37,81,100,5.73
332,iquitos,PE,-3.75,-73.25,71.6,94,90,12.75
333,rognan,NO,67.1,15.39,37.4,55,0,27.51
334,kulhudhuffushi,MV,6.62,73.07,82.15,75,0,9.01
335,terrace,CA,54.52,-128.6,33.8,83,75,12.75
336,krasnoselkup,RU,65.7,82.47,9.46,95,98,13.67
337,kosh-agach,RU,50.0,88.67,16.0,86,39,2.39
338,cherskiy,RU,68.75,161.3,4.77,91,100,5.21
339,sawakin,SD,19.11,37.33,85.33,62,0,5.3
340,isangel,VU,-19.55,169.27,75.63,80,49,12.88
341,cascais,PT,38.7,-9.42,66.99,72,0,4.7
342,chaoyang,CN,41.57,120.46,49.1,48,100,9.73
343,kismayo,SO,-0.36,42.55,80.15,78,42,11.03
344,peniche,PT,39.36,-9.38,64.99,83,0,1.99
345,kontagora,NG,10.4,5.47,79.77,37,21,1.68
346,port pirie,AU,-33.18,138.02,59.0,82,90,12.75
347,sassandra,CI,4.95,-6.08,78.12,87,16,5.64
348,khorixas,NA,-20.37,14.97,73.83,36,4,12.62
349,djambala,CG,-2.54,14.75,69.17,96,100,3.69
350,ixtapa,MX,20.7,-105.2,84.99,66,5,8.05
351,port macquarie,AU,-31.43,152.92,66.2,93,75,5.82
352,tomatlan,MX,19.93,-105.25,85.44,68,100,7.09
353,goderich,CA,43.75,-81.72,35.6,74,93,12.75
354,flinders,AU,-34.58,150.86,63.0,93,100,1.99
355,leningradskiy,RU,69.38,178.42,17.96,93,45,20.83
356,ouesso,CG,1.61,16.05,71.74,92,36,1.72
357,pedernales,DO,18.04,-71.74,84.2,79,75,5.82
358,lashio,MM,22.93,97.75,64.18,99,100,1.16
359,iqaluit,CA,63.75,-68.51,3.2,65,20,5.82
360,malanje,AO,-9.54,16.34,68.09,94,100,1.54
361,antigonish,CA,45.62,-62.0,37.99,58,100,4.0
362,los llanos de aridane,ES,28.66,-17.92,73.4,78,40,12.75
363,south venice,US,27.05,-82.42,82.0,65,1,14.99
364,dawson,US,31.77,-84.45,69.8,49,1,9.17
365,galveston,US,29.37,-94.97,64.0,59,75,6.93
366,tooele,US,40.53,-112.3,61.0,47,1,10.29
367,nortelandia,BR,-14.45,-56.8,81.25,69,73,8.32
368,khandyga,RU,62.67,135.6,-4.99,89,49,2.89
369,shamary,RU,57.34,58.22,33.06,92,100,6.93
370,murgab,TM,37.5,61.97,48.2,45,0,4.7
371,festus,US,38.22,-90.4,55.0,60,0,0.98
372,correntina,BR,-13.34,-44.64,84.36,51,28,7.96
373,hay river,CA,60.82,-115.8,19.4,85,100,5.82
374,praia,CV,14.92,-23.51,79.93,71,100,17.67
375,mundo nuevo,MX,18.7,-95.5,75.61,74,100,25.03
376,komsomolskiy,UZ,40.43,71.72,44.6,39,0,2.24
377,clyde river,CA,70.47,-68.59,15.8,85,75,16.11
378,kuching,MY,1.55,110.33,77.0,100,40,1.12
379,fukue,JP,32.69,128.84,62.42,68,0,20.36
380,miri,MY,4.41,114.01,77.0,94,40,1.12
381,navahrudak,BY,53.6,25.83,44.06,92,100,6.76
382,ahipara,NZ,-35.17,173.17,64.13,89,15,9.37
383,fort nelson,CA,58.81,-122.7,21.2,92,90,10.29
384,eisiskes,LT,54.17,25.0,46.0,100,75,5.82
385,chitrakonda,IN,18.12,82.08,66.92,79,33,1.5
386,bonthe,SL,7.53,-12.51,80.33,83,90,8.01
387,aswan,EG,24.09,32.91,83.8,15,0,7.16
388,nyimba,ZM,-14.56,30.81,80.47,33,2,6.73
389,sibu,MY,2.3,111.82,77.0,94,40,4.7
390,neuquen,AR,-38.95,-68.06,78.8,16,0,12.75
391,alofi,NU,-19.06,-169.92,73.4,94,22,13.87
392,hualmay,PE,-11.1,-77.61,68.47,68,95,8.43
393,kombissiri,BF,12.07,-1.34,89.6,27,0,3.36
394,flin flon,CA,54.77,-101.86,23.0,67,90,6.93
395,sola,VU,-13.88,167.55,81.27,77,98,11.43
396,tulun,RU,54.56,100.58,29.41,90,100,6.13
397,krasni okny,UA,47.54,29.46,52.05,75,100,12.82
398,lekoni,GA,-1.58,14.26,72.86,82,16,2.53
399,ouallam,NE,14.32,2.09,89.26,14,0,6.82
400,uray,RU,60.12,64.78,30.31,97,56,9.46
401,naberera,TZ,-4.2,36.93,63.0,68,66,9.6
402,verkhoyansk,RU,67.54,133.38,-3.41,90,100,3.6
403,angoram,PG,-4.06,144.07,73.08,97,76,1.39
404,lagoa,PT,39.05,-27.98,68.92,89,100,27.18
405,port keats,AU,-14.25,129.55,81.45,78,0,5.1
406,kruisfontein,ZA,-34.0,24.73,52.0,85,0,1.01
407,san ignacio,BZ,17.16,-89.07,82.4,78,75,11.41
408,acapulco,MX,16.86,-99.89,86.0,79,40,4.7
409,necochea,AR,-38.55,-58.74,63.68,47,0,6.42
410,altay,CN,47.87,88.12,22.51,87,24,3.36
411,krutinka,RU,56.01,71.51,35.17,95,100,8.99
412,develi,TR,38.39,35.49,57.2,47,40,3.91
413,dangtu,CN,31.57,118.49,59.0,87,0,6.71
414,klyuchi,RU,52.27,79.17,34.45,94,100,6.4
415,fort saint james,CA,54.43,-124.25,37.11,80,0,9.24
416,isoka,ZM,-10.16,32.63,68.67,52,11,5.37
417,morehead,US,37.27,-87.18,53.6,46,1,10.29
418,lovington,US,32.94,-103.35,64.99,33,5,10.29
419,mananara,MG,-16.17,49.77,70.12,86,84,10.16
420,kathu,TH,7.92,98.33,84.99,100,40,1.12
421,huanren,CN,41.26,125.37,38.17,72,100,4.83
422,andenes,NO,69.31,16.12,35.6,64,0,16.11
423,ishurdi,BD,24.13,89.08,76.62,73,100,7.36
424,srednekolymsk,RU,67.45,153.68,0.57,92,0,2.8
425,ugra,RU,54.78,34.33,43.11,94,99,2.68
426,veracruz,MX,19.33,-96.67,79.0,47,90,17.22
427,chunhuhub,MX,19.55,-88.68,81.0,90,8,3.24
428,mogadouro,PT,41.34,-6.71,54.48,74,0,0.76
429,ust-ilimsk,RU,58.0,102.66,20.88,91,100,1.9
430,juneau,US,58.3,-134.42,39.99,93,75,8.05
431,yarada,IN,17.65,83.27,75.2,83,98,2.24
432,bethel,US,41.37,-73.41,37.4,86,90,9.17
433,narwar,IN,25.65,77.9,67.8,25,0,3.74
434,danville,US,36.59,-79.39,64.4,39,20,11.41
435,atyrau,KZ,47.12,51.88,51.8,37,0,22.37
436,oga,IT,46.46,10.35,57.0,67,0,2.24
437,erzin,TR,36.96,36.2,73.99,63,100,1.28
438,codrington,AU,-38.27,141.97,50.32,91,4,9.26
439,kologriv,RU,58.83,44.32,32.68,96,87,5.03
440,loudi,CN,27.73,111.99,56.61,91,19,1.7
441,sherbakul,RU,54.63,72.4,32.0,95,90,6.71
442,minab,IR,27.15,57.08,71.6,33,0,9.17
443,torremolinos,ES,36.62,-4.5,66.0,68,0,3.36
444,mutsu,JP,41.29,141.22,42.8,87,40,4.7
445,marathon,US,44.9,-89.77,39.99,44,1,6.93
446,knysna,ZA,-34.04,23.05,55.4,62,20,3.36
447,king city,US,36.21,-121.13,73.99,14,0,1.99
448,klaksvik,FO,62.23,-6.59,46.4,87,3,26.4
449,karatau,KZ,43.17,70.47,33.62,86,0,2.64
450,praia da vitoria,PT,38.73,-27.07,69.8,88,40,16.75
451,derzhavinsk,KZ,51.1,66.32,34.59,82,16,1.97
